Year,Year (Count All),,,
1958,11,,,
1959,11,,,
1960,58,,,
1961,13,,,
1962,3,,,
1963,22,,,
1964,13,,,
1965,24,,,
1966,19,,,
1967,30,,,
1968,73,,,
1969,73,,,
1970,21,,,
1971,39,,,
1972,64,,,
1973,28,,,
1974,54,,,
1975,37,,,
1976,25,,,
1977,30,,,
1978,61,,,
1979,73,,,
1980,83,,,
1981,36,,,
1982,40,,,
1983,51,,,
1984,42,,,
1985,85,,,
1986,68,,,
1987,60,,,
1988,78,,,
1989,50,,,
1990,30,,,
1991,82,,,
1992,46,,,
1993,43,,,
1994,83,,,
1995,37,,,
1996,66,,,
1997,134,,,
1998,134,,,
1999,163,,,
2000,178,,,
2001,175,,,
2002,240,,,
2003,453,,,
2004,545,,,
2005,561,,,
2006,496,,,
2007,547,,,
2008,453,,,
2009,493,,,
2010,514,,,
2011,491,,,
2012,531,,,
2013,528,,,
2014,494,,,
2015,540,,,
2016,547,,,
2017,591,,,
2018,551,,,
2019,531,,,
2020,822,,,
2021,918,,,
2022,2530,,,
